"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"523";2;5;7;9;11;11;11;11;11;11;11
"524";2;5;7;9;11;11;11;11;11;11;11
"525";2;5;7;9;11;11;11;11;11;11;11
"526";2;5;7;9;11;11;11;11;11;11;11
"527";2;5;7;9;11;11;11;11;11;11;11
"528";2;5;7;9;11;11;11;11;11;11;11
"529";2;5;7;9;11;11;11;11;11;11;11
"530";2;5;7;9;11;11;11;11;11;11;11
"531";2;5;7;9;11;11;11;11;11;11;11
"532";2;5;7;9;11;11;11;11;11;11;11
"533";2;5;7;9;11;11;11;11;11;11;11
"534";2;5;7;9;11;11;11;11;11;11;11
"535";2;5;7;9;11;11;11;11;11;11;11
"536";2;5;7;9;11;11;11;11;11;11;11
"537";2;5;7;9;11;11;11;11;11;11;11
"538";2;5;7;9;11;11;11;11;11;11;11
"539";2;5;7;9;11;11;11;11;11;11;11
"540";2;5;7;9;11;11;11;11;11;11;11
"541";2;5;7;9;11;11;11;11;11;11;11
"542";2;5;7;9;11;11;11;11;11;11;11
"543";2;5;7;9;11;11;11;11;11;11;11
"544";2;5;7;9;11;11;11;11;11;11;11
"545";2;5;7;9;11;11;11;11;11;11;11
"546";2;5;7;9;11;11;11;11;11;11;11
"547";2;5;7;9;11;11;11;11;11;11;11
"548";2;5;7;9;11;11;11;11;11;11;11
